omega_p, tau_s, d_p, d_s, ratio, F_sp, F_flyarm, F_ss, F_helix, sum_F
221.564956, 113.678823, 0.000000, 0.008492, 3.905374, 300.254959, 543.964254, 134.277919, 1950.791222, 4320.843764
221.564956, 127.888676, 0.000000, 0.008492, 3.905374, 300.254959, 543.964254, 134.277919, 2188.437212, 4918.037343
221.564956, 142.098529, 0.000000, 0.008492, 3.905374, 300.254959, 543.964254, 134.277919, 2426.083203, 5515.230921
221.564956, 156.308381, 0.000000, 0.008492, 3.905374, 300.254959, 543.964254, 134.277919, 2663.729193, 6112.424500
221.564956, 170.518234, 0.000000, 0.008492, 3.905374, 300.254959, 543.964254, 134.277919, 2901.375183, 6709.618078
221.564956, 184.728087, 0.000000, 0.008492, 3.905374, 300.254959, 543.964254, 134.277919, 3139.021174, 7306.811657
221.564956, 198.937940, 0.000000, 0.008492, 3.905374, 300.254959, 543.964254, 134.277919, 3376.667164, 7904.005235
221.564956, 213.147793, 0.000000, 0.008492, 3.905374, 300.254959, 543.964254, 134.277919, 3614.313154, 8501.198814
221.564956, 227.357646, 0.000000, 0.008492, 3.905374, 300.254959, 543.964254, 134.277919, 3851.959145, 9098.392392
221.564956, 241.567499, 0.000000, 0.008492, 3.905374, 300.254959, 543.964254, 134.277919, 4089.605135, 9695.585971
221.564956, 255.777351, 0.000000, 0.008492, 3.905374, 300.254959, 543.964254, 134.277919, 4327.251125, 10292.779549
221.564956, 269.987204, 0.000000, 0.008492, 3.905374, 300.254959, 543.964254, 134.277919, 4564.897116, 10889.973128
228.178835, 0.000000, 0.002775, 0.010464, 2.348546, 329.416683, 478.678509, 141.182317, 56.253396, -0.003733
228.178835, 14.209853, 0.005000, 0.012234, 1.679313, 352.793010, 576.924440, 147.383800, 299.854495, 514.244397
228.178835, 28.419706, 0.005000, 0.012234, 1.679313, 352.793010, 576.924440, 147.383800, 537.500486, 1194.756609
228.178835, 42.629559, 0.005000, 0.012234, 1.679313, 352.793010, 576.924440, 147.383800, 775.146476, 1875.268822
228.178835, 56.839411, 0.005000, 0.012234, 1.679313, 352.793010, 576.924440, 147.383800, 1012.792466, 2555.781034
228.178835, 71.049264, 0.005000, 0.012234, 1.679313, 352.793010, 576.924440, 147.383800, 1250.438457, 3236.293246
228.178835, 85.259117, 0.005000, 0.012234, 1.679313, 352.793010, 576.924440, 147.383800, 1488.084447, 3916.805459
228.178835, 99.468970, 0.005000, 0.012234, 1.679313, 352.793010, 576.924440, 147.383800, 1725.730437, 4597.317671
228.178835, 113.678823, 0.005000, 0.012234, 1.679313, 352.793010, 576.924440, 147.383800, 1963.376428, 5277.829884
228.178835, 127.888676, 0.000000, 0.008492, 3.905374, 300.254959, 576.924440, 134.277919, 2188.437212, 4793.769835
228.178835, 142.098529, 0.000000, 0.008492, 3.905374, 300.254959, 576.924440, 134.277919, 2426.083203, 5390.963413
228.178835, 156.308381, 0.000000, 0.008492, 3.905374, 300.254959, 576.924440, 134.277919, 2663.729193, 5988.156992
228.178835, 170.518234, 0.000000, 0.008492, 3.905374, 300.254959, 576.924440, 134.277919, 2901.375183, 6585.350570
228.178835, 184.728087, 0.000000, 0.008492, 3.905374, 300.254959, 576.924440, 134.277919, 3139.021174, 7182.544149
228.178835, 198.937940, 0.000000, 0.008492, 3.905374, 300.254959, 576.924440, 134.277919, 3376.667164, 7779.737727
228.178835, 213.147793, 0.000000, 0.008492, 3.905374, 300.254959, 576.924440, 134.277919, 3614.313154, 8376.931306
228.178835, 227.357646, 0.000000, 0.008492, 3.905374, 300.254959, 576.924440, 134.277919, 3851.959145, 8974.124884
228.178835, 241.567499, 0.000000, 0.008492, 3.905374, 300.254959, 576.924440, 134.277919, 4089.605135, 9571.318463
228.178835, 255.777351, 0.000000, 0.008492, 3.905374, 300.254959, 576.924440, 134.277919, 4327.251125, 10168.512041
228.178835, 269.987204, 0.000000, 0.008492, 3.905374, 300.254959, 576.924440, 134.277919, 4564.897116, 10765.705620
234.792714, 0.000000, 0.002616, 0.010343, 2.409862, 327.740706, 475.300779, 140.761503, 55.849301, 0.003731
234.792714, 14.209853, 0.005000, 0.012234, 1.679313, 352.793010, 610.854044, 147.383800, 299.854495, 398.217674
234.792714, 28.419706, 0.005000, 0.012234, 1.679313, 352.793010, 610.854044, 147.383800, 537.500486, 1078.729887
234.792714, 42.629559, 0.005000, 0.012234, 1.679313, 352.793010, 610.854044, 147.383800, 775.146476, 1759.242099
234.792714, 56.839411, 0.005000, 0.012234, 1.679313, 352.793010, 610.854044, 147.383800, 1012.792466, 2439.754311
234.792714, 71.049264, 0.005000, 0.012234, 1.679313, 352.793010, 610.854044, 147.383800, 1250.438457, 3120.266524
234.792714, 85.259117, 0.005000, 0.012234, 1.679313, 352.793010, 610.854044, 147.383800, 1488.084447, 3800.778736
234.792714, 99.468970, 0.005000, 0.012234, 1.679313, 352.793010, 610.854044, 147.383800, 1725.730437, 4481.290948
234.792714, 113.678823, 0.005000, 0.012234, 1.679313, 352.793010, 610.854044, 147.383800, 1963.376428, 5161.803161
234.792714, 127.888676, 0.000000, 0.008492, 3.905374, 300.254959, 610.854044, 134.277919, 2188.437212, 4665.847400
234.792714, 142.098529, 0.000000, 0.008492, 3.905374, 300.254959, 610.854044, 134.277919, 2426.083203, 5263.040979
234.792714, 156.308381, 0.000000, 0.008492, 3.905374, 300.254959, 610.854044, 134.277919, 2663.729193, 5860.234557
234.792714, 170.518234, 0.000000, 0.008492, 3.905374, 300.254959, 610.854044, 134.277919, 2901.375183, 6457.428135
234.792714, 184.728087, 0.000000, 0.008492, 3.905374, 300.254959, 610.854044, 134.277919, 3139.021174, 7054.621714
234.792714, 198.937940, 0.000000, 0.008492, 3.905374, 300.254959, 610.854044, 134.277919, 3376.667164, 7651.815292
234.792714, 213.147793, 0.000000, 0.008492, 3.905374, 300.254959, 610.854044, 134.277919, 3614.313154, 8249.008871
234.792714, 227.357646, 0.000000, 0.008492, 3.905374, 300.254959, 610.854044, 134.277919, 3851.959145, 8846.202449
234.792714, 241.567499, 0.000000, 0.008492, 3.905374, 300.254959, 610.854044, 134.277919, 4089.605135, 9443.396028
234.792714, 255.777351, 0.000000, 0.008492, 3.905374, 300.254959, 610.854044, 134.277919, 4327.251125, 10040.589606
234.792714, 269.987204, 0.000000, 0.008492, 3.905374, 300.254959, 610.854044, 134.277919, 4564.897116, 10637.783185
241.406593, 0.000000, 0.002500, 0.010257, 2.455849, 326.523984, 463.888965, 140.457911, 55.557770, 32.290749
241.406593, 14.209853, 0.003404, 0.010946, 2.127377, 336.023341, 677.096066, 142.871300, 295.521269, 0.011386
241.406593, 28.419706, 0.005000, 0.012234, 1.679313, 352.793010, 645.753065, 147.383800, 537.500486, 959.388115
241.406593, 42.629559, 0.005000, 0.012234, 1.679313, 352.793010, 645.753065, 147.383800, 775.146476, 1639.900327
