omega_p, tau_s, d_p, d_s, ratio, F_sp, F_flyarm, F_ss, F_helix
221.564956, 383.666027, 0.000000, 0.008492, 3.905374, 300.254959, 3857.908087, 134.277919, 6466.065039
221.564956, 397.875880, 0.000000, 0.008492, 3.905374, 300.254959, 3857.908087, 134.277919, 6703.711029
221.564956, 412.085733, 0.000000, 0.008492, 3.905374, 300.254959, 3857.908087, 134.277919, 6941.357019
221.564956, 426.295586, 0.000000, 0.008492, 3.905374, 300.254959, 3857.908087, 134.277919, 7179.003010
221.564956, 440.505439, 0.000000, 0.008492, 3.905374, 300.254959, 3857.908087, 134.277919, 7416.649000
221.564956, 454.715292, 0.000000, 0.008492, 3.905374, 300.254959, 3857.908087, 134.277919, 7654.294990
221.564956, 468.925144, 0.000000, 0.008492, 3.905374, 300.254959, 3857.908087, 134.277919, 7891.940981
221.564956, 483.134997, 0.000000, 0.008492, 3.905374, 300.254959, 3857.908087, 134.277919, 8129.586971
221.564956, 497.344850, 0.000000, 0.008492, 3.905374, 300.254959, 3857.908087, 134.277919, 8367.232961
221.564956, 511.554703, 0.000000, 0.008492, 3.905374, 300.254959, 3857.908087, 134.277919, 8604.878952
221.564956, 525.764556, 0.000000, 0.008492, 3.905374, 300.254959, 3857.908087, 134.277919, 8842.524942
221.564956, 539.974409, 0.000000, 0.008492, 3.905374, 300.254959, 3857.908087, 134.277919, 9080.170932
228.178835, 269.987204, 0.003872, 0.011314, 1.981103, 340.942194, 4091.668612, 144.160723, 4574.387291
228.178835, 284.197057, 0.002882, 0.010544, 2.308763, 330.538299, 4091.668612, 141.465651, 4809.445281
228.178835, 298.406910, 0.001930, 0.009837, 2.702161, 320.539016, 4091.668612, 138.987617, 5044.711685
228.178835, 312.616763, 0.001016, 0.009186, 3.184608, 310.935145, 4091.668612, 136.706314, 5280.167005
228.178835, 326.826616, 0.000139, 0.008585, 3.791661, 301.715710, 4091.668612, 134.603487, 5515.793711
228.178835, 341.036469, 0.000000, 0.008492, 3.905374, 300.254959, 4091.668612, 134.277919, 5753.127068
228.178835, 355.246322, 0.000000, 0.008492, 3.905374, 300.254959, 4091.668612, 134.277919, 5990.773058
228.178835, 369.456174, 0.000000, 0.008492, 3.905374, 300.254959, 4091.668612, 134.277919, 6228.419048
228.178835, 383.666027, 0.000000, 0.008492, 3.905374, 300.254959, 4091.668612, 134.277919, 6466.065039
228.178835, 397.875880, 0.000000, 0.008492, 3.905374, 300.254959, 4091.668612, 134.277919, 6703.711029
228.178835, 412.085733, 0.000000, 0.008492, 3.905374, 300.254959, 4091.668612, 134.277919, 6941.357019
228.178835, 426.295586, 0.000000, 0.008492, 3.905374, 300.254959, 4091.668612, 134.277919, 7179.003010
228.178835, 440.505439, 0.000000, 0.008492, 3.905374, 300.254959, 4091.668612, 134.277919, 7416.649000
228.178835, 454.715292, 0.000000, 0.008492, 3.905374, 300.254959, 4091.668612, 134.277919, 7654.294990
228.178835, 468.925144, 0.000000, 0.008492, 3.905374, 300.254959, 4091.668612, 134.277919, 7891.940981
228.178835, 483.134997, 0.000000, 0.008492, 3.905374, 300.254959, 4091.668612, 134.277919, 8129.586971
228.178835, 497.344850, 0.000000, 0.008492, 3.905374, 300.254959, 4091.668612, 134.277919, 8367.232961
228.178835, 511.554703, 0.000000, 0.008492, 3.905374, 300.254959, 4091.668612, 134.277919, 8604.878952
228.178835, 525.764556, 0.000000, 0.008492, 3.905374, 300.254959, 4091.668612, 134.277919, 8842.524942
228.178835, 539.974409, 0.000000, 0.008492, 3.905374, 300.254959, 4091.668612, 134.277919, 9080.170932
234.792714, 269.987204, 0.005115, 0.012331, 1.651912, 354.000943, 4332.304448, 147.721872, 4577.806962
234.792714, 284.197057, 0.004135, 0.011524, 1.904999, 343.699240, 4332.304448, 144.895662, 4812.739023
234.792714, 298.406910, 0.003189, 0.010779, 2.199547, 333.764753, 4332.304448, 142.288431, 5047.881363
234.792714, 312.616763, 0.002278, 0.010092, 2.547647, 324.192655, 4332.304448, 139.880656, 5283.215235
234.792714, 326.826616, 0.001401, 0.009456, 2.966420, 314.975935, 4332.304448, 137.654652, 5518.723658
234.792714, 341.036469, 0.000557, 0.008868, 3.480973, 306.105969, 4332.304448, 135.594419, 5754.391264
234.792714, 355.246322, 0.000000, 0.008492, 3.905374, 300.254959, 4332.304448, 134.277919, 5990.773058
234.792714, 369.456174, 0.000000, 0.008492, 3.905374, 300.254959, 4332.304448, 134.277919, 6228.419048
234.792714, 383.666027, 0.000000, 0.008492, 3.905374, 300.254959, 4332.304448, 134.277919, 6466.065039
234.792714, 397.875880, 0.000000, 0.008492, 3.905374, 300.254959, 4332.304448, 134.277919, 6703.711029
234.792714, 412.085733, 0.000000, 0.008492, 3.905374, 300.254959, 4332.304448, 134.277919, 6941.357019
234.792714, 426.295586, 0.000000, 0.008492, 3.905374, 300.254959, 4332.304448, 134.277919, 7179.003010
234.792714, 440.505439, 0.000000, 0.008492, 3.905374, 300.254959, 4332.304448, 134.277919, 7416.649000
234.792714, 454.715292, 0.000000, 0.008492, 3.905374, 300.254959, 4332.304448, 134.277919, 7654.294990
234.792714, 468.925144, 0.000000, 0.008492, 3.905374, 300.254959, 4332.304448, 134.277919, 7891.940981
234.792714, 483.134997, 0.000000, 0.008492, 3.905374, 300.254959, 4332.304448, 134.277919, 8129.586971
234.792714, 497.344850, 0.000000, 0.008492, 3.905374, 300.254959, 4332.304448, 134.277919, 8367.232961
234.792714, 511.554703, 0.000000, 0.008492, 3.905374, 300.254959, 4332.304448, 134.277919, 8604.878952
234.792714, 525.764556, 0.000000, 0.008492, 3.905374, 300.254959, 4332.304448, 134.277919, 8842.524942
234.792714, 539.974409, 0.000000, 0.008492, 3.905374, 300.254959, 4332.304448, 134.277919, 9080.170932
241.406593, 269.987204, 0.006307, 0.013362, 1.396801, 366.521223, 4579.815592, 151.335132, 4581.276673
241.406593, 284.197057, 0.005340, 0.012521, 1.599904, 356.361777, 4579.815592, 148.387859, 4816.092481
241.406593, 298.406910, 0.004404, 0.011742, 1.830759, 346.531842, 4579.815592, 145.660044, 5051.119028
241.406593, 312.616763, 0.003500, 0.011021, 2.096250, 337.030604, 4579.815592, 143.133095, 5286.338461
241.406593, 326.826616, 0.002627, 0.010352, 2.405617, 327.854741, 4579.815592, 140.790039, 5521.734480
241.406593, 341.036469, 0.001784, 0.009731, 2.771572, 318.998999, 4579.815592, 138.615404, 5757.292231
241.406593, 355.246322, 0.000971, 0.009154, 3.212125, 310.456664, 4579.815592, 136.595109, 5992.998189
241.406593, 369.456174, 0.000187, 0.008618, 3.753686, 302.219936, 4579.815592, 134.716345, 6228.840056
241.406593, 383.666027, 0.000000, 0.008492, 3.905374, 300.254959, 4579.815592, 134.277919, 6466.065039
