omega_p, tau_s, d_p, d_s, ratio
287.703748, 28.419706, 0.010000, 0.016963, 0.829905
287.703748, 56.839411, 0.010000, 0.016963, 0.829905
287.703748, 85.259117, 0.010000, 0.016963, 0.829905
287.703748, 113.678823, 0.010000, 0.016963, 0.829905
287.703748, 142.098529, 0.010000, 0.016963, 0.829905
287.703748, 170.518234, 0.010000, 0.016963, 0.829905
287.703748, 198.937940, 0.010000, 0.016963, 0.829905
287.703748, 227.357646, 0.010000, 0.016963, 0.829905
287.703748, 255.777351, 0.002100, 0.009961, 2.625216
287.703748, 284.197057, 0.004452, 0.011781, 1.818012
287.703748, 312.616763, 0.006533, 0.013565, 1.353444
287.703748, 341.036469, 0.008371, 0.015295, 1.048393
287.703748, 369.456174, 0.009994, 0.016957, 0.830689
287.703748, 397.875880, 0.010000, 0.016963, 0.829905
287.703748, 426.295586, 0.010000, 0.016963, 0.829905
287.703748, 454.715292, 0.010000, 0.016963, 0.829905
287.703748, 483.134997, 0.010000, 0.016963, 0.829905
287.703748, 511.554703, 0.010000, 0.016963, 0.829905
287.703748, 539.974409, 0.010000, 0.016963, 0.829905
294.317628, 0.000000, 0.010000, 0.016963, 0.829905
294.317628, 28.419706, 0.010000, 0.016963, 0.829905
294.317628, 56.839411, 0.010000, 0.016963, 0.829905
294.317628, 85.259117, 0.010000, 0.016963, 0.829905
294.317628, 113.678823, 0.010000, 0.016963, 0.829905
294.317628, 142.098529, 0.010000, 0.016963, 0.829905
294.317628, 170.518234, 0.010000, 0.016963, 0.829905
294.317628, 198.937940, 0.010000, 0.016963, 0.829905
294.317628, 227.357646, 0.010000, 0.016963, 0.829905
294.317628, 255.777351, 0.000978, 0.009159, 3.207615
294.317628, 284.197057, 0.003341, 0.010897, 2.148284
294.317628, 312.616763, 0.005447, 0.012612, 1.575735
294.317628, 341.036469, 0.007320, 0.014287, 1.213588
294.317628, 369.456174, 0.008984, 0.015906, 0.961572
294.317628, 397.875880, 0.010000, 0.016963, 0.829905
294.317628, 426.295586, 0.010000, 0.016963, 0.829905
294.317628, 454.715292, 0.010000, 0.016963, 0.829905
294.317628, 483.134997, 0.010000, 0.016963, 0.829905
294.317628, 511.554703, 0.010000, 0.016963, 0.829905
294.317628, 539.974409, 0.010000, 0.016963, 0.829905
300.931507, 0.000000, 0.010000, 0.016963, 0.829905
300.931507, 28.419706, 0.010000, 0.016963, 0.829905
300.931507, 56.839411, 0.010000, 0.016963, 0.829905
300.931507, 85.259117, 0.010000, 0.016963, 0.829905
300.931507, 113.678823, 0.010000, 0.016963, 0.829905
300.931507, 142.098529, 0.010000, 0.016963, 0.829905
300.931507, 170.518234, 0.010000, 0.016963, 0.829905
300.931507, 198.937940, 0.010000, 0.016963, 0.829905
300.931507, 227.357646, 0.010000, 0.016963, 0.829905
300.931507, 255.777351, 0.010000, 0.016963, 0.829905
300.931507, 284.197057, 0.002253, 0.010074, 2.558284
300.931507, 312.616763, 0.004376, 0.011719, 1.838210
300.931507, 341.036469, 0.006277, 0.013336, 1.402524
300.931507, 369.456174, 0.007976, 0.014909, 1.107966
300.931507, 397.875880, 0.009493, 0.016429, 0.893805
300.931507, 426.295586, 0.010000, 0.016963, 0.829905
300.931507, 454.715292, 0.010000, 0.016963, 0.829905
300.931507, 483.134997, 0.010000, 0.016963, 0.829905
300.931507, 511.554703, 0.010000, 0.016963, 0.829905
300.931507, 539.974409, 0.010000, 0.016963, 0.829905
307.545386, 0.000000, 0.010000, 0.016963, 0.829905
307.545386, 28.419706, 0.010000, 0.016963, 0.829905
307.545386, 56.839411, 0.010000, 0.016963, 0.829905
307.545386, 85.259117, 0.010000, 0.016963, 0.829905
307.545386, 113.678823, 0.010000, 0.016963, 0.829905
307.545386, 142.098529, 0.010000, 0.016963, 0.829905
307.545386, 170.518234, 0.010000, 0.016963, 0.829905
307.545386, 198.937940, 0.010000, 0.016963, 0.829905
307.545386, 227.357646, 0.010000, 0.016963, 0.829905
307.545386, 255.777351, 0.010000, 0.016963, 0.829905
307.545386, 284.197057, 0.001191, 0.009308, 3.082256
307.545386, 312.616763, 0.003324, 0.010884, 2.153769
307.545386, 341.036469, 0.005246, 0.012441, 1.621376
307.545386, 369.456174, 0.006973, 0.013965, 1.273301
307.545386, 397.875880, 0.008525, 0.015446, 1.026033
307.545386, 426.295586, 0.009918, 0.016876, 0.840008
307.545386, 454.715292, 0.010000, 0.016963, 0.829905
307.545386, 483.134997, 0.010000, 0.016963, 0.829905
307.545386, 511.554703, 0.010000, 0.016963, 0.829905
307.545386, 539.974409, 0.010000, 0.016963, 0.829905
314.159265, 0.000000, 0.010000, 0.016963, 0.829905
314.159265, 28.419706, 0.010000, 0.016963, 0.829905
314.159265, 56.839411, 0.010000, 0.016963, 0.829905
314.159265, 85.259117, 0.010000, 0.016963, 0.829905
314.159265, 113.678823, 0.010000, 0.016963, 0.829905
314.159265, 142.098529, 0.010000, 0.016963, 0.829905
314.159265, 170.518234, 0.010000, 0.016963, 0.829905
314.159265, 198.937940, 0.010000, 0.016963, 0.829905
314.159265, 227.357646, 0.010000, 0.016963, 0.829905
314.159265, 255.777351, 0.010000, 0.016963, 0.829905
314.159265, 284.197057, 0.000157, 0.008598, 3.777074
314.159265, 312.616763, 0.002293, 0.010103, 2.541354
314.159265, 341.036469, 0.004229, 0.011600, 1.878580
314.159265, 369.456174, 0.005979, 0.013073, 1.462048
314.159265, 397.875880, 0.007560, 0.014512, 1.173889
314.159265, 426.295586, 0.008986, 0.015909, 0.961217
314.159265, 454.715292, 0.010000, 0.016963, 0.829905
314.159265, 483.134997, 0.010000, 0.016963, 0.829905
314.159265, 511.554703, 0.010000, 0.016963, 0.829905
314.159265, 539.974409, 0.010000, 0.016963, 0.829905
